% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3291 +1.399599072e+01 +1.399599072e+01 +2.223759907e+02 +2.223759907e+02 +8.3284e-02 -1.4663e+00 +4.9097e-02 -1.1849e+00 +3.0278e-01 -8.6876e-01 +1.0908e-01 +1.9073e+00 -6.4447e-01 +2.2092e+00 +8.2077e-01 +6.3983e-01 -1.4247e+00 -6.0337e-01 +4.4228e-01 -2.2321e+00 +1.7695e+00 +1.5602e+00 +2.0432e+00 +6.6539e-01
3377 +4.373275863e+00 +4.373275863e+00 +2.127532759e+02 +2.127532759e+02 -6.6275e-02 -7.6784e-01 -1.0702e+00 +1.1946e+00 +3.9895e-01 +8.5888e-01 +4.2239e-01 +5.6899e-01 -5.2728e-01 +1.7317e+00 +2.7223e-01 +4.3570e-01 -6.5611e-01 -1.5204e+00 +5.5605e-01 -1.8745e+00 +7.1846e-01 +2.5571e+00 +1.9019e+00 +1.5434e+00
3835 +3.631636839e+00 +3.631636839e+00 +2.120116368e+02 +2.120116368e+02 +2.6670e-01 +8.4601e-01 +1.6352e+00 -1.6187e+00 +2.9870e+00 +9.2832e-01 +9.4623e-01 +2.4034e+00 -2.4057e-01 +3.1632e-01 +2.6873e+00 +9.8723e-01 -1.1846e+00 -1.6251e+00 +1.0728e+00 -9.8798e-01 +1.5313e+00 +2.0994e+00 +1.0593e+00 +2.4236e+00
292203 +2.411059330e+00 +2.411059330e+00 +2.107910593e+02 +2.107910593e+02 -2.3962e+00 +2.0184e+00 +2.2203e+00 -9.0100e-01 +2.7909e+00 +2.0350e+00 +3.1865e-01 +1.8150e+00 -1.4425e+00 +1.0856e+00 +1.8877e+00 +9.7132e-01 -1.8986e+00 -2.0296e+00 +2.0297e+00 -6.7220e-01 +2.1012e+00 +2.1123e+00 +1.2173e+00 +1.7023e+00
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.802755357e+05 +2.802755357e+05 +2.801305757e+05 +2.801305757e+05 -4.3018e+00 +4.6534e+00 +1.2978e+00 +2.7402e+00 +2.9427e+00 +1.9032e+00 -4.3942e+00 -3.9190e+00 +2.6730e+00 +2.8312e+00 -3.1183e+00 +2.8768e-01 -4.3281e+00 +2.5873e+00 +3.8153e+00 -4.1311e+00 +1.1628e-01 +3.8413e+00 -2.4721e+00 -3.1938e+00
3 +1.854147138e+05 +1.854147138e+05 +1.852697538e+05 +1.852697538e+05 +1.9396e+00 +2.4490e+00 +2.5729e+00 -9.5713e-01 -9.6273e-01 +4.2793e-02 -9.3839e-01 -2.5192e+00 +2.4794e+00 +4.7555e+00 -2.7887e+00 +2.7805e+00 +3.6681e+00 +3.9466e+00 -4.8981e+00 -3.9929e+00 -3.9967e+00 +1.6945e+00 +1.9581e+00 +8.7174e-01
4 +1.338629204e+05 +1.338629204e+05 +1.337179604e+05 +1.337179604e+05 -9.0498e-01 -4.6655e+00 -4.0977e+00 -4.4159e+00 +1.5431e+00 +9.0741e-01 +1.8065e+00 +2.8143e+00 +6.5446e-01 +5.5147e-01 +4.5115e-01 +7.5909e-01 +6.2202e-01 +1.5095e+00 +4.6239e+00 +3.5009e+00 -4.5832e+00 +2.3251e-01 -3.7873e+00 -2.0974e+00
9 +7.032497638e+04 +7.032497638e+04 +7.018001638e+04 +7.018001638e+04 -2.4002e+00 +4.1250e+00 -1.1503e+00 -2.4736e+00 -1.9419e-01 -5.2277e-01 +3.6069e+00 -3.8539e-03 -8.5666e-01 -2.6953e+00 +3.1303e+00 +1.9832e+00 +4.0763e+00 +1.5502e+00 +2.0929e+00 +3.1444e+00 -7.0463e-01 -2.8672e+00 +4.8409e+00 -3.6745e+00
29 +5.462643397e+04 +5.462643397e+04 +5.448147397e+04 +5.448147397e+04 -3.9456e+00 +1.4723e+00 +4.1980e+00 +2.9233e+00 +1.9534e+00 -4.8588e+00 -4.5754e+00 -1.5370e+00 -4.3180e+00 +1.8142e-01 -1.3021e+00 +5.6209e-01 +1.3015e+00 +3.9388e+00 -3.5960e-01 +3.6540e+00 -3.1332e+00 -2.3821e+00 +3.9147e+00 -2.4823e+00
170 +3.726215010e+04 +3.726215010e+04 +3.711719010e+04 +3.711719010e+04 -6.4907e-01 +4.7598e+00 -1.7702e+00 +4.9233e+00 +3.5916e+00 -1.9708e+00 -1.8028e+00 -5.3094e-02 +4.4962e-02 +5.2008e-01 +3.9345e+00 +2.5250e+00 +3.3912e+00 +2.3579e+00 +3.6729e+00 -1.4642e+00 -2.2982e+00 -2.3636e+00 +1.0345e+00 -1.0238e+00
668 +2.266938563e+04 +2.266938563e+04 +2.252442563e+04 +2.252442563e+04 -2.0418e+00 +1.5297e+00 +6.0308e-01 +1.3406e+00 +2.7034e+00 +1.4106e-01 -2.6065e-01 -4.3475e-01 +3.5595e+00 +1.8123e+00 +2.9150e+00 +2.4068e+00 -1.5866e+00 +1.8100e+00 +2.3251e+00 -2.8444e-01 +2.2422e-02 -1.8425e+00 +3.9608e-01 -2.1026e+00
993 +9.331901159e+03 +9.331901159e+03 +9.186941159e+03 +9.186941159e+03 -1.1937e+00 -3.6680e+00 +3.8278e-01 -1.3139e+00 +2.1772e+00 +6.1026e-01 -1.4739e+00 +4.1512e+00 -2.3480e+00 +2.4121e+00 +1.6471e+00 +3.2625e+00 +2.5644e+00 +1.6071e+00 +6.2255e-01 +1.2106e+00 +5.5129e-01 -3.2211e+00 +2.0818e+00 -2.3985e+00
1259 +4.604121154e+03 +4.604121154e+03 +4.459161154e+03 +4.459161154e+03 -1.4822e+00 -2.6885e+00 -3.1214e+00 -1.8236e-01 -4.1102e+00 -1.9226e-01 +7.4775e-01 +3.2178e+00 +2.1739e+00 +2.9059e+00 +5.4838e-01 +1.6252e-01 +1.1345e-01 +2.6736e+00 +3.4126e-01 +2.8461e-01 -9.4193e-01 -2.0282e+00 +7.2341e-01 -4.2407e-01
1923 +3.271153939e+03 +3.271153939e+03 +3.126193939e+03 +3.126193939e+03 +1.6781e+00 +1.9474e+00 -3.3841e+00 +1.9593e+00 +1.3607e+00 +3.8953e-01 +1.7170e-01 +4.5159e+00 -9.1347e-01 +1.6357e+00 -1.7080e-01 +3.2606e+00 +9.4631e-01 +1.1437e+00 +1.3249e+00 +1.3439e+00 -1.6586e+00 -1.4507e+00 +2.4602e+00 -1.3052e+00
