% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
120974 +3.972467069e-04 +3.972467069e-04 +1.238303972e+02 +1.238303972e+02 +1.4071e-01 -4.4053e-01 -6.8079e-01 -3.4048e-03 +6.7226e-01 -7.3499e-02 -7.2666e-01 -1.4674e-01 -1.1822e-02 +1.1054e+00 -2.6571e-01 -1.0793e-01 +3.0769e-01 -1.8553e-02 -7.0306e-01 -5.4438e-01 +1.0159e+00 -1.0040e-01 +2.3637e-01 +1.1712e-02
121762 +2.322037040e-04 +2.322037040e-04 +1.238302322e+02 +1.238302322e+02 +1.4033e-01 -4.3972e-01 -6.8150e-01 -2.9336e-03 +6.7378e-01 -7.2313e-02 -7.2662e-01 -1.4788e-01 -1.3274e-02 +1.1063e+00 -2.6679e-01 -1.1059e-01 +3.0568e-01 -1.8050e-02 -7.0275e-01 -5.4635e-01 +1.0164e+00 -9.9491e-02 +2.3621e-01 +1.0306e-02
122211 +1.536127583e-04 +1.536127583e-04 +1.238301536e+02 +1.238301536e+02 +1.3991e-01 -4.3869e-01 -6.8223e-01 -2.4292e-03 +6.7540e-01 -7.1562e-02 -7.2647e-01 -1.4896e-01 -1.4931e-02 +1.1079e+00 -2.6822e-01 -1.1314e-01 +3.0353e-01 -1.7324e-02 -7.0252e-01 -5.4877e-01 +1.0169e+00 -9.8304e-02 +2.3641e-01 +8.2672e-03
123090 +9.805407797e-05 +9.805407797e-05 +1.238300981e+02 +1.238300981e+02 +1.3973e-01 -4.3840e-01 -6.8247e-01 -2.2218e-03 +6.7640e-01 -7.1380e-02 -7.2661e-01 -1.4962e-01 -1.5457e-02 +1.1086e+00 -2.6879e-01 -1.1426e-01 +3.0293e-01 -1.6965e-02 -7.0256e-01 -5.4989e-01 +1.0174e+00 -9.7966e-02 +2.3655e-01 +7.4891e-03
123803 +6.290848111e-05 +6.290848111e-05 +1.238300629e+02 +1.238300629e+02 +1.3979e-01 -4.3832e-01 -6.8266e-01 -1.9546e-03 +6.7668e-01 -7.1232e-02 -7.2671e-01 -1.4986e-01 -1.5732e-02 +1.1089e+00 -2.6922e-01 -1.1477e-01 +3.0260e-01 -1.6999e-02 -7.0254e-01 -5.5046e-01 +1.0175e+00 -9.7924e-02 +2.3660e-01 +7.1568e-03
124701 +3.896649667e-05 +3.896649667e-05 +1.238300390e+02 +1.238300390e+02 +1.3955e-01 -4.3787e-01 -6.8289e-01 -1.6706e-03 +6.7764e-01 -7.0902e-02 -7.2671e-01 -1.5045e-01 -1.6528e-02 +1.1099e+00 -2.7000e-01 -1.1614e-01 +3.0148e-01 -1.6621e-02 -7.0235e-01 -5.5182e-01 +1.0178e+00 -9.7239e-02 +2.3677e-01 +6.2468e-03
125280 +2.252814059e-05 +2.252814059e-05 +1.238300225e+02 +1.238300225e+02 +1.3953e-01 -4.3785e-01 -6.8300e-01 -1.6327e-03 +6.7768e-01 -7.0905e-02 -7.2674e-01 -1.5041e-01 -1.6560e-02 +1.1099e+00 -2.7017e-01 -1.1617e-01 +3.0139e-01 -1.6666e-02 -7.0242e-01 -5.5193e-01 +1.0179e+00 -9.7235e-02 +2.3682e-01 +6.2478e-03
125716 +1.493545264e-05 +1.493545264e-05 +1.238300149e+02 +1.238300149e+02 +1.3946e-01 -4.3769e-01 -6.8310e-01 -1.5447e-03 +6.7802e-01 -7.0749e-02 -7.2675e-01 -1.5063e-01 -1.6854e-02 +1.1103e+00 -2.7050e-01 -1.1662e-01 +3.0108e-01 -1.6513e-02 -7.0244e-01 -5.5233e-01 +1.0180e+00 -9.7041e-02 +2.3686e-01 +5.9144e-03
126103 +9.328772535e-06 +9.328772535e-06 +1.238300093e+02 +1.238300093e+02 +1.3944e-01 -4.3764e-01 -6.8310e-01 -1.5706e-03 +6.7805e-01 -7.0753e-02 -7.2675e-01 -1.5061e-01 -1.6840e-02 +1.1103e+00 -2.7050e-01 -1.1657e-01 +3.0103e-01 -1.6442e-02 -7.0242e-01 -5.5235e-01 +1.0180e+00 -9.7061e-02 +2.3694e-01 +6.0094e-03
126829 +5.346140227e-06 +5.346140227e-06 +1.238300053e+02 +1.238300053e+02 +1.3941e-01 -4.3763e-01 -6.8311e-01 -1.5647e-03 +6.7804e-01 -7.0730e-02 -7.2676e-01 -1.5059e-01 -1.6892e-02 +1.1103e+00 -2.7053e-01 -1.1658e-01 +3.0100e-01 -1.6477e-02 -7.0245e-01 -5.5236e-01 +1.0180e+00 -9.7055e-02 +2.3695e-01 +6.0086e-03
